AA,0.5,AA
KK,0.9,KK
AKs,1.2,KK AKs
QQ,1.7,QQ AKs
AK,2.6,QQ AK
JJ,3,JJ AK
AQs,3.3,JJ AK AQs
TT,3.8,TT AK AQs
AQ,4.7,TT AQ
99,5.1,99 AQ
AJs,5.4,99 AQ AJs
88,5.9,88 AQ AJs
ATs,6.2,88 AQ ATs
AJ,7.1,88 AJ ATs
77,7.5,77 AJ ATs
66,8,66 AJ ATs
AT,8.9,66 AT
A9s,9.2,66 AT A9s
55,9.7,55 AT A9s
A8s,10,55 AT A8s
KQs,10.3,55 AT A8s KQs
44,10.7,44 AT A8s KQs
A9,11.6,44 A9 A8s KQs
A7s,11.9,44 A9 A7s KQs
KJs,12.2,44 A9 A7s KJs
A5s,12.5,44 A9 A5s KJs
A8,13.4,44 A8 A5s KJs
A6s,13.7,44 A8 A6s KJs
A4s,14,44 A8 A4s KJs
33,14.5,33 A8 A4s KJs
KTs,14.8,33 A8 A4s KTs
A7,15.7,33 A7 A4s KTs
A3s,16,33 A7 A3s KTs
KQ,16.9,33 A7 A3s KQ KTs
A2s,17.2,33 A7 A2s KQ KTs
A5,18.1,33 A5 A2s KQ KTs
A6,19,33 A6 A2s KQ KTs
A4,19.9,33 A4 A2s KQ KTs
KJ,20.8,33 A4 A2s KJ KTs
QJs,21.1,33 A4 A2s KJ KTs QJs
A3,22,33 A3 A2s KJ KTs QJs
22,22.5,22 A3 A2s KJ KTs QJs
K9s,22.8,22 A3 A2s KJ K9s QJs
A2,23.7,22 A2 KJ K9s QJs
KT,24.6,22 A2 KT K9s QJs
QTs,24.9,22 A2 KT K9s QTs
K8s,25.2,22 A2 KT K8s QTs
K7s,25.5,22 A2 KT K7s QTs
JTs,25.8,22 A2 KT K7s JTs
K9,26.7,22 A2 K9 K7s JTs
K6s,27,22 A2 K9 K6s JTs
QJ,27.9,22 A2 K9 K6s QJ JTs
Q9s,28.2,22 A2 K9 K6s QJ Q9s JTs
K5s,28.5,22 A2 K9 K5s QJ Q9s JTs
K8,29.4,22 A2 K8 K5s QJ Q9s JTs
K4s,29.7,22 A2 K8 K4s QJ Q9s JTs
QT,30.6,22 A2 K8 K4s QT Q9s JTs
K7,31.5,22 A2 K7 K4s QT Q9s JTs
K3s,31.8,22 A2 K7 K3s QT Q9s JTs
K2s,32.1,22 A2 K7 K2s QT Q9s JTs
Q8s,32.4,22 A2 K7 K2s QT Q8s JTs
K6,33.3,22 A2 K6 K2s QT Q8s JTs
J9s,33.6,22 A2 K6 K2s QT Q8s J9s
K5,34.5,22 A2 K5 K2s QT Q8s J9s
Q9,35.4,22 A2 K5 K2s Q9 Q8s J9s
JT,36.3,22 A2 K5 K2s Q9 Q8s JT J9s
K4,37.3,22 A2 K4 K2s Q9 Q8s JT J9s
Q7s,37.6,22 A2 K4 K2s Q9 Q7s JT J9s
T9s,37.9,22 A2 K4 K2s Q9 Q7s JT T9s
Q6s,38.2,22 A2 K4 K2s Q9 Q6s JT T9s
K3,39.1,22 A2 K3 K2s Q9 Q6s JT T9s
J8s,39.4,22 A2 K3 K2s Q9 Q6s JT J8s T9s
Q5s,39.7,22 A2 K3 K2s Q9 Q5s JT J8s T9s
K2,40.6,22 K2 Q9 Q5s JT J8s T9s
Q8,41.5,22 K2 Q8 Q5s JT J8s T9s
Q4s,41.8,22 K2 Q8 Q4s JT J8s T9s
